,Product Index,Username,User Rate,Rate Date,Buyer Comment,,
20,H0762001_S_XE500C13-K03US-800160302,T.Y. Ko,5, 2019-03-31 ,"主要是帶往旅行時使用,機身輕便,容易携帶,速度OK!",,
21,H0762001_S_XE500C13-K03US-800160302,Alice Poon,4, 2019-03-14 ,"挺好的. 不會很重,  習慣後覺得操作比普通電腦更方便, 適合日常文書工作和學習用",,
22,H0762001_S_XE500C13-K03US-800160302,Wenkie Koo,5, 2019-02-01 ,這是我買第二部 Chromebook，第一部是華碩 C302。這部機不可直接跟 C302 比較，這部算基本入門機，沒 touch screen，沒 USB C 叉電 (即不可接尿袋在街用長用)，但速度可接受，試過一陣上網做野，電郵文書處理看網頁 video ebanking 等等沒都問題，而且價錢平，CP 價高。值得一提係商戶原本寫 1-4 工作日出貨，實際我下單後 48 內已取貨，讚！,,
23,H0762001_S_XE500C13-K03US-800160302,Jackson Chan,5, 2018-12-10 ,如果用開Google各種服務及Chrome Web Browser又係Android Phone用家你會覺得好方便同好易用可以裝Android上面絕大部份既apps無執行上既問題apps運行速度滿意播HD片好暢順開機快，十幾秒就load到入desktop開機唔駛按開關掣，攤開部機就自動開機內置cam影像清晰色彩滿意USB 3.0插位有替週邊設備充電功能，幾好用HDMI方便輸出到投影機做演講用途無Google account會好麻煩個speaker比較細聲，開到盡都係比較細聲，用3.5mm耳機插位好過藍牙只能夠駁到mouse，藍牙耳機接駁不能無LAN插位，上網快慢好睇wifi訊號強弱，不過可以用USB to LAN Dongle 解決Monitor光度在50%仍相當耀眼，要較到30%-40%先可以接受Trackpad反應太敏感，改用mouse體驗好好多不建議同時開多個windows，會變慢內置micro sd slot及USB，只有內置apps可以存取，Android apps不能打文件睇片聽歌上網收發電郵絕對夠用細部輕身方便帶出街學生或者一般user可滿足使用需求水貨賣緊$15xx-$1700不過得2GB RAM同16GB eMMC本人覺得行貨賣$1988有4GB RAM同32GB eMMC性價比較高電量夠用8-10粒鐘如果要黎玩Android 3D game好勉強,,
24,S1116001_S_7869,Miray S,5, 2019-09-21 ,Nice fit and has a nice glossy finish allowing the computer to look cleaner. ,,
25,S1116001_S_7869,Chung shing Lau,5, 2019-06-26 ,水晶透明保護外殼購買后不錯,,
26,S1116001_S_7869,Yam Ming Tam,4, 2019-06-13 ,還好,,
27,S1116001_S_7869,L Shi,5, 2019-04-02 ,"服務好, 價格合理, 實話實說, 不欺詐,  我收到的物品有瑕疵, Bluebeach 答應立該跟進, 期待Bluebeach 14個工作天內, 可以說得出做得到",,
28,H0661001_S_NBOHPA-HPSTREAM11-ah113TU,Ika Yuanita,1, 2019-08-02 ,I received a defective product!,,
29,H0661001_S_NBOHPA-HPSTREAM11-ah113TU,Stanley Tse,5, 2019-07-16 ,"High quality built laptop with lowest price, best deal!",,
30,H5807001_S_4895076203495,LEE CHAU HA,5, 2019-09-15 ,多功能，非常實用！,,
31,S1116001_S_7662,George Poon,4, 2019-09-21 ,Good packing and prompt delivery,,
32,S1116001_S_7662,展宜 容,5, 2019-08-02 ,美觀實用,,
33,S1116001_S_7662,Kwong Eric,5, 2019-03-27 ,Very fit for MacBook Pro 13 inch,,
34,H0661001_S_NBOHPA-14-ce1031TX,Vicki Ho,4, 2019-08-11 ,不錯！,,
35,H5023001_S_80U1002HHH_256,Ricky Lee,5, 2019-06-25 ,good,,
36,H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,YUEN LING NGAN,5, 2019-05-24 ,客服不錯，比市面便宜，可靠。,,
37,H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,henry chang,5, 2019-05-09 ,"買得安心, 價錢平",,
38,H0762001_S_NS13A1HK087P-140160099,YC LIU,4, 2019-06-26 ,很满意。,,
39,S1076001_S_193268301191,Leung Dick,5, 2019-04-27 ,good,,
40,H5023001_S_80WK000SHH,先生 曾,5, 2019-06-26 ,"比預期新淨, 打機完全唔lag.",,
41,S1116001_S_8819,Wranky Leung,5, 2019-09-07 ,Good Goods!,,
42,H5807001_S_4895076203471,Lillian Chan,3, 2019-09-21 ,OCR 認字成功率大概6成而已,,
43,H5023001_S_80SW001NHH,Mary Tai,5, 2019-07-18 ,新機一樣～,,
44,S1116001_S_8809,Waiho Tse,3, 2019-09-18 ,支架有d鬆，風力唔算大,,
45,S1116001_S_7663,chan kt,2, 2019-05-25 ,"looks good and stable as described, however, very hard to adjust for a desired position, may be the stiff joints the reason for the stability, but I’m very anxious at first to adjust the angle - almost impossible to move the top or bottom panels due to stiff joints. and wondering if i have to loosening something first then tighten up when finish. A simple manual will do a great help but none instruction for how to at all. A quite good product just lacks a simple piece of paper.",,
46,S1116001_S_7663,Salina Wong,5, 2018-11-22 ,堅固， 實淨，好用,,
47,S1076001_S_193268289345,jedy wong,5, 2019-05-02 ,Speddy delivery ,,
48,H5393002_S_1000553,TING YEUNG NG,5, 2017-10-13 ,Good,,
49,H6603001_S_IdeaPad_S340_14IWL_81N7007XHH,Ricky H.,5, 2019-10-01 ,好用，平靚正，新域達服務一流,,
50,H5023001_S_80QQ0014HH,KWOK HONG LEE,4, 2019-09-29 ,OK,,
51,H5023001_S_80QQ0014HH,Bee 劉,4, 2019-09-06 ,這個價錢超值了,,
52,H5023001_S_80QQ0014HH,eric cheng,5, 2017-10-18 ,0k,,
53,H6588001_S_Samsung_TabA_8_2019_WiFi,Lawrence Ka Yeung Cheung,5, 2019-08-27 ,Excellent,,
54,H6588001_S_Samsung_TabA_8_2019_WiFi,H O小姐 如冇人请放在樓下保安,5, 2019-08-20 ,嘩好正易安裝。,,
55,H6800001_S_BGT0026,Lai nar lana Leung,5, 2019-09-18 ,Good service,,
56,H0972006_S_F7,YM Yeung,1, 2019-07-22 ,跟機放火牛和線的位置是空的，欠了火牛和線，沒法使用用?,,
57,H0972006_S_F7,D C,4, 2019-06-16 ,用作一般文書處理0k，價格實惠,,
58,H0972006_S_F7,chuen hin Chiu,4, 2019-04-02 ,價值合理,,
59,H0972006_S_F7,wai man suen,1, 2019-03-06 ,充電線冇反應！麻煩跟進,,
60,H0972006_S_F7,Shirley Ho,5, 2019-01-25 ,"good quality,  thin, light and fast",,
61,H0972006_S_F7,K Chan,3, 2019-01-17 ,"剛買了但不能charge 電, 不知是 laptop 還是火牛的問題, 我應該如果處理? 我沒有類似的火牛測試 laptop. ",,
62,H0972006_S_F7,Jenny Cheung,5, 2019-01-11 ,好抵用，正！,,
63,H0972006_S_F7,chan chan,5, 2019-01-02 ,好用,,
64,H0972006_S_F7,Connie Ng,1, 2018-12-31 ,"開機之後不停閃，打去保養又話只得晚上19:30 : 20:00,完全無人理",,
65,H0972006_S_F7,Brenda Kwok,2, 2018-12-23 ,"按shift 2和3 变不到@和#, 是否壞了這兩個制",,
66,H6588001_S_Huawei_M5_Lite_8_LTE,Pui Wai jess kwok,4, 2019-08-16 ,好正,,
67,H5023001_S_80U1002HHH_256,Ricky Lee,5, 2019-06-25 ,good,,
68,H6588001_S_Huawei_M5Pro_Gold,Wai Hong CHAN,5, 2019-07-31 ,唔錯！,,
69,H6588001_S_Huawei_M5Pro_Gold,chun man fan,5, 2019-03-19 ,Very good,,
70,H5912001_S_T0044_bk,King Yeung,5, 2019-04-11 ,好,,
71,H5912001_S_T0044_bk,JOSEPH LEUNG,1, 2019-04-11 ,我不知道那個sim卡的插曹是如何開的，因為我已經整支插針插入去，都是沒有反應囉？,,
72,H5912001_S_T0044_bk,wp LEUNG,4, 2019-03-22 ,"送錯顏色，送左金色，但準時送到,nice",,
73,H5912001_S_T0044_bk,Ken Lau,3, 2019-03-21 ,本人訂購的是黑色平板4，但送來的是金色平板，詢問後HKTVmall 員工回覆原因是缺貨。如是缺貨，HKTVmall  應先通知客戶。本人已要求更換黑色平板，希望能盡快更進。,,
74,H0710001_S_STM-222-200JW-01,kin Wah yip,1, 2019-10-01 ,鏡頭與個孔位置配不上，要求退貨。,,
75,H5683002_S_P2224,Esme Fung,5, 2019-04-26 ,好,,
76,H6391001_S_Noris,Denis Chan,5, 2019-08-09 ,一開即用，非常好，謝謝,,
77,H6672002_S_Round-Disc-Stylus-Black,Giselle Ip,5, 2019-04-16 ,好用，好流暢,,
78,H5967001_S_hd8,Pak Nin Ho,5, 2019-07-23 ,非常感謝滿意,,
79,H5967001_S_hd8,HO YUNG SUNG,4, 2019-06-23 ,續航力及畫面等整體上都不錯，不過介面暫時搵唔到繁體中文輸入，如果有就perfect。,,
80,H5023001_S_ZA2M0000HK,MM Lau,4, 2019-07-05 ,雖然係陳列品，但質素唔錯，用咗幾日冇乜問題，平平地抵玩。,,
81,H5023001_S_ZA2M0000HK,Yee Ching Mok,4, 2019-02-25 ,很好，售後服務很好,,
82,H6725001_S_iSE_G_64_3A_U,Oscar Leung,5, 2019-09-09 ,抵用,,
83,H6725001_S_iSE_G_64_3A_U,Oscar Leung,5, 2019-09-09 ,抵用,,
84,H6725001_S_iSE_G_64_3A_U,melody chan,5, 2019-09-07 ,新機一樣，好快送到，超值,,
85,H6725001_S_iSE_G_64_3A_U,Ray KO,4, 2019-09-07 ,試了一天。整體不錯。一流後備機。,,
86,H6725001_S_iSE_G_64_3A_U,KIM HO KO,4, 2019-09-06 ,很快收到貨，雖然有些問題，但商家好快換貨解決了。,,
87,H6725001_S_iSE_G_64_3A_U,Lai Chun Lau,4, 2019-08-26 ,發貨準時，貨品狀態比預期好，除機背有一小點花痕外，其他與新機無異。電話運作暫時正常。扺讚！,,
88,H6725001_S_iSE_G_64_3A_U,袁 文浩,5, 2019-07-25 ,原來是日版 Iphone，有點可惜，但性能 外觀100%新。,,
89,H5688002_S_DG007302973,Wing Yu Ng,5, 2019-09-05 ,GD,,
90,H5688002_S_DG007302973,Nattaphon Sae-tun,5, 2019-08-02 ,Good,,
91,H5688002_S_DG007302973,Raymond Chan,4, 2019-07-06 ,易用好用，音色清晰，值得購買！,,
92,H5688002_S_DG007302973,kin lung yau,5, 2019-07-03 ,非常好,,
93,H5688002_S_DG007302973,Ina wong,5, 2019-06-06 ,Good,,
94,H5688002_S_DG007302973,Yiu Chan,5, 2019-05-25 ,經常缺貨，希望增加庫存,,
95,H6588001_S_Huawei_P30Lite_White,rita lau,5, 2019-09-20 ,發貨快,,
96,H6588001_S_Huawei_P30Lite_White,Mag Tsang,5, 2019-08-06 ,發貨快，今日比錢第2日收到，非常好！,,
97,H6588001_S_Samsung_A70_6_Black,Wing Yee Winnie Chung,5, 2019-09-13 ,好,,
98,H5912001_S_Xa0032,rain chan,4, 2019-05-25 ,濾網沒有包裝袋，是兩腳插頭，其他幾好,,
99,H5912001_S_Xa0032,Cheung Sing Hui,2, 2019-05-23 ,No adaptor provided.  Late delivery half an hour.,,
100,H5912001_S_Xa0032,Ki Ki Lee,4, 2019-05-21 ,準時發貨，包裝很好，連線容易，好靜說明書有多個語言，就係冇中文，插頭係兩圓腳，過濾器無包裝袋,,
101,H5912001_S_Xa0032,tam chunkit,4, 2019-05-06 ,Good,,
102,H5912001_S_Xa0032,choi yin wong,5, 2019-05-06 ,超值、抵用,,
103,H5912001_S_Xa0032,Sabrina Cheung,5, 2019-05-06 ,從收到貨到現在連續長開4日，室內空氣質素好左，好靜冇雜音，可以用App監控系統方便~,,
104,H5912001_S_Xa0032,may liu,4, 2019-04-30 ,剛取貨，但打開背板即見慮芯，毋須拆袋，無插頭跟，無說明書，唔識怎連wifi.,,
105,H5912001_S_Xa0032,Lo Lo,5, 2019-04-11 ,準時送到，用左3分鐘，機著到冇壞,,
106,H5912001_S_Xa0032,Gurung Suraj,4, 2019-04-02 ,Work good as of now,,
107,H5912001_S_Xa0032,Francisca Ip,5, 2019-03-31 ,運送快捷有禮,,
108,H0972006_S_zenfone_6,CHUNG YUEN CHAN,4, 2019-07-29 ,好用， 各項性能平均！ 可接受。,,
109,H0972006_S_zenfone_6,Michael Ko,5, 2019-07-05 ,有NFC抵用，系統安全更新又快,,
110,H5912001_S_AP0010,Terry NG,1, 2019-05-30 ,極度差評！網購咁耐第一次見到咁離曬大譜商家，虛假信息誤導消費者，唔標明產品具體信息型號，以1599的價格出售蘋果店賣1299的有線充電盒，收到貨仲以為你唔小心發錯貨，同你溝通一句這就是airpods 2，實在太敷衍，請您馬上溝通退貨流程，不然一定會去消費者委員會投訴你，實在欺人太甚！！！,,
111,H5912001_S_AP0010,Siu Lu Hung,1, 2019-05-27 ,全世界airpods2都$1599連無線充電盒，你就1599跟個普通充電盒，冇無線充電盒版本airpods2， Apple官方又好HKTVMALL 其他供應商都好都係賣緊1199左右，你咁樣標價係明顯誤導消費者以為你係賣緊有無線充電盒版本，仲價2000幾減價1599？我真係好後悔幫襯哩到，我用同樣公價1599買個冇無線充電盒嘅版本，點解我唔直接入Apple買？一樣價錢零風險。我回報商品然後一句話我確實買嘅係airpods2 咁就算？,,
112,H5912001_S_AP0010,Kwok Man Yip,1, 2019-05-27 ,用$1599買Air Pods2 變成 Air Pods·,,
113,H5912001_S_AP0010,Antofagasta CHAK,5, 2019-05-10 ,準時送達,,
114,H5912001_S_AP0010,Kanus Wong,5, 2018-11-07 ,送貸好快,,
115,H5912001_S_AP0010,Tin long Pan,5, 2018-11-02 ,Good,,
116,H5912001_S_AP0010,potatosw Dondon,5, 2018-09-30 ,Day 1 訂貨，day 2送貨，即用，正,,
117,H5912001_S_AP0010,mokpokit123,5, 2018-09-11 ,很好、發貨快,,
118,H5912001_S_AP0010,Kinkin Wan,5, 2018-09-10 ,很好,,
119,H0972006_S_325,Yiu Wah Fok,5, 2019-10-04 ,輕巧，切備齊。,,
120,H0972006_S_325,Rai Mahesh,5, 2019-08-21 ,"Very good product, on time delivery.",,
121,H0972006_S_325,Chu Winnie,1, 2019-08-14 ,I bought this phone three days ago.  I discovered that ths charger and adapter become very hot while I was charging the phone.  I wonder whether it would cause fire because my other Samsung phones does not have this phenomenon.  Winnie Chu,,
122,H0972006_S_325,Jimmy Li,1, 2019-06-20 ,"Both two packages has been opened and resealed, I wonder whether they are brand new or not.I definitely won't buy any products from this supplier any more, ",,
123,H0972006_S_325,yc ng,5, 2019-05-10 ,價錢很，工能好，低買,,
124,H0972006_S_325,REGINA ALBANO,4, 2019-04-07 ,Just as expected. Came on time!,,
125,H0972006_S_325,Charlotte Wong,1, 2019-03-25 ,很失望！因為在TV mall 的上的廣告是正貨，但是收到貨後不是Samsung 的插頭，有誤導消費者之嫌⋯⋯請問我應該如何跟進？,,
126,H0972006_S_325,Suk Yee Lam,5, 2019-03-16 ,好平呀有折折左平左成70元 剛剛試用左 按設定 有得轉用其他輸入法同手寫功能 部機好易用 ,,
127,H0972006_S_325,Xue Qiu,1, 2019-02-13 ,唔用放置一天就冇電，差評感覺唔係正品,,
128,H0972006_S_325,Mandy Lau,1, 2018-11-14 ,"好失望，竟然係部大陸機，已心知不妙。點知揾極都冇手寫板!! 只有拼音法輸入中文! 部機我買比仔仔用，點知寫唔到中文，超失望! HKTV mall, 可否幫吓忙問吓商户點解咁㗎。。",,
129,H0775001_S_ZF4SELBLK,suet lai lo,1, 2019-09-08 ,這部手機 沒有聲音 開到最大都冇聲出 呢個牌子我買咗好多隻一直都好可靠嘅最近呢買幾隻都有好多唔同嘅缺憾 唔知個問題喺邊度,,
130,H5300001_S_AXMM1901F7E4-64GBBK,Tommy Chan,5, 2019-08-31 ,準時送到,,
131,H6588001_S_Samsung_S10_128_Green,elsiehomk,5, 2019-09-13 ,"商戶服務態度好好，樂意跟進並有儘快作出回覆，物件包裝完好，可惜被""順豐快遞""延誤两天才收到貨。",,
132,H5300001_S_AAEIPA1723128GBGD,Kitty Lo,4, 2019-09-30 ,最愛、最好用嘅SE。  全新，暫時唔覺有問題。,,
133,H6588001_S_OnePlus_7_8_256_NebulaBlue,Clare Marie Ciriaco,5, 2019-09-04 ,The best phone I ever had. Everything works perfectly and the store was very efficient. ,,
134,H5912001_S_Xa0033,Hung Lun Hui,4, 2019-06-29 ,請問要怎麼樣購買新的Filter？,,
135,H5912001_S_Xa0033,Polly Yip,2, 2019-05-20 ,請問呢個插頭可以點用？,,
136,H5912001_S_Xa0033,Athena Kwok,2, 2019-05-06 ,剛收到貨，但是兩腳插頭，用唔到。,,
137,H5912001_S_Xa0033,DANIELLE SUEN,1, 2019-04-11 ,"Poor after sales service, no follow up, no reply",,
138,H5912001_S_Xa0033,Debby Wong,3, 2019-04-01 ,頭先開咗盒發現個插頭唔係香港嗰種插頭，而係扁插頭，連轉插器都唔岩位，同埋如果係呢種插頭個watt數其實適唔適合香港用？我而家完全用唔到部機，麻煩可以跟進嗎？,,
139,H5912001_S_Xa0033,lee boon han,3, 2019-03-17 ,This air purifier almost perfect except only support China server not Hong Kong or Singapore so my app can't detect it. ,,
140,H5912001_S_Xa0033,James Yim,5, 2019-01-05 ,十分滿意,,
141,H6725001_S_i7_R_128_3A_U,Frankie KaHei,5, 2019-09-19 ,完全對得住呢個價錢,,
142,H6725001_S_i7_R_128_3A_U,Tim Lung Yu,3, 2019-08-29 ,沒有叉電線,,
143,H6725001_S_i7_R_128_3A_U,armando ho,5, 2019-04-27 ,我認為物超所值,,
144,H6588001_S_Huawei_P30Lite_Blue,Esther CHAN,5, 2019-07-19 ,非常好，送貨又快，包装又靚,,
145,H6588001_S_Huawei_P30Lite_Blue,Michael Wong,5, 2019-06-03 ,Good value for money,,
146,H6588001_S_Huawei_P30Lite_Blue,Ray ho,5, 2019-05-28 ,兩日收到貨，good,,
147,H6588001_S_HTC_U12P_Black,Iris Yim,5, 2019-09-16 ,實用，物超所值。,,
148,H6652001_S_Nokia_106_BK,Yuki Shum,5, 2019-10-03 ,很好,,
149,H6652001_S_Nokia_106_BK,wing shan lee,5, 2019-07-03 ,Ok,,
150,H0775001_S_30151GY,Yiu hang Leung,5, 2019-10-16 ,平用,,
151,H6725001_S_iSE_W_64_1_U,chun nam kwong,5, 2019-04-15 ,好新，店主服務佳,,
152,H0972006_S_ELUGA_C_BLUE,Kin Sun Chu,3, 2019-08-29 ,手機沒有問題只是mon貼可能太舊沒有黏力還有可否給我原裝充電器和耳機？,,
153,H0972006_S_ELUGA_C_BLUE,Wai Lan Ng,1, 2019-07-28 ,"今天6:25pm收到的手機, 回家後打開發現機背凹了一處, 原裝的充電插頭也被換掉了! 這是新貨手機嗎? 看來比較像是二手或陳列機?! 完全感覺被騙了!!! 本人強烈要求退貨或換貨, 請跟進, 謝謝!  ",,
154,H0972006_S_ELUGA_C_BLUE,Sung Hau Yuk,1, 2019-07-14 ,"Battery is dead on the phone, the charger provided are also dead. I use my own charger to charge the phone but no light or reaction for it. What are total disappointed buyer experience.  Also...it could not return to HKTV mall due to it policy. ",,
155,H0972006_S_ELUGA_C_BLUE,Vivian NG,5, 2019-07-05 ,包裝良好，真係新貨，希望今次冇問題。各種discount 後，800幾蚊，雖然未用，係好抵嘅。,,
156,H0972006_S_ELUGA_C_BLUE,Wai Lai,5, 2019-06-06 ,64GB抵玩，手感好正,,
157,H6588001_S_Huawei_Y9_2019_Purple,Vicky Chui,5, 2019-06-14 ,產品靚仔,,
158,H6588001_S_Huawei_Y9_2019_Purple,leona lun,5, 2019-03-22 ,又快又抵,,
159,H5982001_S_blackberrykey2le64gbblk,立信 張,5, 2018-11-17 ,never better,,
160,H6588001_S_Samsung_S10e_Black,ho hok lai,5, 2019-03-28 ,very good. Thank you !,,
161,H5912001_S_OP0010,Yim Yan Kwan,4, 2019-08-28 ,好,,
162,H0972006_S_g9_plus,kong ho,5, 2019-06-21 ,都易容易用。,,
163,H6725001_S_i7_R_32_3A_U,wai ying kwok,4, 2019-08-04 ,滿意,,
164,H6588001_S_Oneplus_7_8_256_Black,Lizta Lo,5, 2019-08-17 ,店家友善貼心，會有專人打電話通知貨物在時送到， 也講解清楚條款， 值得信任。,,
165,H0972006_S_196,rose yiu,1, 2019-07-08 ,"手機裏預載兩個有問題的apps. 其中一個是file manager。若果停用此App, 螢光幕會不斷彈出停用通知。若果啟用此apps, 一開機手機會提示此apps 有極大安全風險。",,
166,H0972006_S_196,chanvergin,1, 2019-06-07 ,差，電池很易熱滾燙，兼且電力消耗快。,,
167,H0972006_S_196,waikit koo,5, 2019-01-05 ,good,,
168,H0972006_S_196,ming fai chow,1, 2018-12-24 ,言過其實，正常使用下午四時電量只剩20%左右。到维修部請教操作問題，師傅有空也不答你，叫你自已看說明書。一肚氣，無下次。,,
169,H0972006_S_196,siu kin yiu,5, 2018-12-14 ,Excellent,,
170,H0972006_S_196,Charles Tam,2, 2018-11-03 ,"我等28/11, 1399, VIP 95折再買= 1329點知買完之後第日, 之後掛左5,6日都係這個價1299 再減150 =1149, 買貴左180....價格十分跣人",,
171,H0972006_S_196,Arrow Cheung,5, 2018-10-26 ,"幫朋友買,唔知好唔好",,
172,H0972006_S_196,Wong Wong,1, 2018-10-20 ,好快冇電，用一陣就好熱,,
173,H0972006_S_196,Tsing FOO,1, 2018-10-15 ,手機装滿間蹀軟件，拖慢手機速度，俄羅斯版本，用起来十分不方便，千萬不要買!,,
174,H0972006_S_196,Elaine Wong,5, 2018-07-12 ,抵用！好,,
175,H6588001_S_Nokia_2720Flip_Black,Justin Cheng,5, 2019-10-10 ,實用,,
176,H0972006_S_320,HIU YUNG KING,1, 2019-03-31 ,失望！開唔到機,,
177,H0972006_S_320,Michelle Mok,1, 2018-11-05 ,完全唔合香港人用，通到wi5但download唔到apps！ 中文又打唔到！YouTube都睇唔到！！問題邊個答到我？？,,
178,H0972006_S_320,Y L WONG,4, 2018-10-25 ,$299當長者電話用非常抵。但說明書得簡體字係咪香港行貨？我嘅母語係廣東話，學繁體字。,,
179,H5087001_S_hoda2319,Leo chan,5, 2019-09-10 ,透光率不錯,,
180,H5087001_S_hoda2319,Carmen Lui,5, 2019-07-16 ,Gd,,
181,H6588001_S_Nova_4_Blue,John Roy Chan,5, 2019-02-28 ,No complain at all. excellent!,,
182,H5912001_S_MO0006_gd,CT CHAN,4, 2019-09-11 ,相機對焦功能不佳，但整體還不錯。,,
183,H5912001_S_MO0006_gd,Joyce WONG,5, 2019-08-23 ,高品跟說明一樣~很好~送貨服務很好~真的按我要求時間到達~,,
184,H5912001_S_MO0006_gd,kwan lam,1, 2019-05-17 ,中伏,,
185,S1116001_S_7845,KT KAI,3, 2019-10-12 ,夾好像太大,,
186,S1116001_S_7845,Ms Mak,4, 2019-08-01 ,唔錯，本人覺得打斜扣還好用。,,
187,S1116001_S_7845,May Ng,1, 2019-06-01 ,中伏！根本頭尾支架就套唔實個電話，已經壓合調節過好幾次都係不中用。就咁套上去望落好似好牢固，其實根本所謂金屬支架套上塑膠物料就沒有做防滑功能，插隻手入去頭尾支架就滑來滑去彈出嚟，唔用更加安全。下次都係買呢啲咁嘅嘢幫襯淘寶好過，最少唔啱用或者與描述不負損失都少一啲，因為價格應該平一點。,,
188,S1116001_S_7845,cissy wong,5, 2019-05-03 ,質數不錯，好用。,,
189,S1116001_S_7845,WS Wong,4, 2019-03-30 ,Description話係金屬支架可以打開或調節，但其實全完唔可以，只係一個fix死左既膠扣，扣上後會左右兩邊“冼”，建議加點防滑貼，而且在贈品內既溫馨提示跟淘X內既內容一樣，實在奇怪，但整體而言算很好,,
190,S1116001_S_7845,小姐 李,4, 2018-12-05 ,很好用，但要留意 若電話套太厚會卡不上,,
191,H6725001_S_i7_R_128_1_U,cheuk hon szeto,5, 2019-04-27 ,正常運作，如陳遠般九成九新。,,
192,H6725001_S_i7_R_128_1_U,Abigail Wong,3, 2019-04-10 ,"暫時開盒兩小時，restore 到，功能暫時冇問題。加5%折扣以$2200+買有送貨唔使煩，算係可以接受。但要記住根機冇lightning earphones, 只有差電線、插蘇、sim針, 或多或少影響性價比。唯一需要評論，就係顯示螢幕有幾條明顯嘅花痕，會影響貼mon貼有氣泡。雖則話九成九新，話指「外觀沒有或幾乎沒有劃痕或崩花」，我認為唔算太準確。",,
193,H6588001_S_Samsung_S10P_128_White,Chin Yuen,5, 2019-04-08 ,好用。老闆態度好,,
194,H6588001_S_Samsung_S10P_128_White,Edmond Lam,5, 2019-03-13 ,Very fast shipping,,
195,H0577001_S_XIA00278,Raymond Lai,2, 2019-08-05 ,It doesn't work with Xiaomi Home app (HK version),,
196,H0577001_S_XIA00278,Chuiyin Lai,1, 2019-05-12 ,"照說明書裝咗個App, 但喺個list 都搵唔到個device,完全裝唔到",,
197,H6302001_S_w1000047,少芬 謝,1, 2019-01-10 ,插頭為甚麼隻腳？可不可以換3腳？,,
198,H6725001_S_i6_W_16_3A_U,Christine Cheng,5, 2019-09-30 ,Good,,
199,H5300001_S_AHUJAT-AL003-32GBBK,Boris Lee,1, 2019-09-12 ,用speaker 有好大回音,,
200,H5912001_S_SY0012-bk,Eddie Lau,5, 2019-07-09 ,降噪技術不錯,,
201,H5912001_S_SY0012-bk,F Hui,5, 2019-07-06 ,音色正，軟墊在耳朵位置覆蓋得很好，舒服，真正減噪音。,,
202,H5912001_S_SY0012-bk,Karen Chung,5, 2019-06-22 ,聲靚、降噪效果滿意、夠輕、使用方便。,,
203,H6588001_S_OP6_8_128_White,chloe lam,5, 2019-09-26 ,phone looks very good,,
204,H6588002_S_Samsung_A40s_Gold_CN,Bruce Jackson,5, 2019-10-04 ,"Good product, great service, quick delivery, thank you very much. ",,
